participants,register,condition,response,instrument
1,low,LRSE,3,Violin
1,low,MRSE,2,Violin
1,low,HRSE,2,Violin
1,low,congr.,3,Violin
1,mid,LRSE,5,Violin
1,mid,MRSE,4,Violin
1,mid,HRSE,2,Violin
1,mid,congr.,4,Violin
1,high,LRSE,5,Violin
1,high,MRSE,2,Violin
1,high,HRSE,2,Violin
1,high,congr.,6,Violin
2,low,LRSE,3,Violin
2,low,MRSE,4,Violin
2,low,HRSE,2,Violin
2,low,congr.,4,Violin
2,mid,LRSE,5,Violin
2,mid,MRSE,5,Violin
2,mid,HRSE,2,Violin
2,mid,congr.,5,Violin
2,high,LRSE,3,Violin
2,high,MRSE,5,Violin
2,high,HRSE,4,Violin
2,high,congr.,5,Violin
3,low,LRSE,2,Violin
3,low,MRSE,3,Violin
3,low,HRSE,3,Violin
3,low,congr.,4,Violin
3,mid,LRSE,3,Violin
3,mid,MRSE,3,Violin
3,mid,HRSE,2,Violin
3,mid,congr.,3,Violin
3,high,LRSE,1,Violin
3,high,MRSE,4,Violin
3,high,HRSE,2,Violin
3,high,congr.,5,Violin
4,low,LRSE,3,Violin
4,low,MRSE,2,Violin
4,low,HRSE,1,Violin
4,low,congr.,1,Violin
4,mid,LRSE,4,Violin
4,mid,MRSE,4,Violin
4,mid,HRSE,3,Violin
4,mid,congr.,2,Violin
4,high,LRSE,5,Violin
4,high,MRSE,5,Violin
4,high,HRSE,6,Violin
4,high,congr.,6,Violin
5,low,LRSE,1,Violin
5,low,MRSE,1,Violin
5,low,HRSE,2,Violin
5,low,congr.,1,Violin
5,mid,LRSE,4,Violin
5,mid,MRSE,3,Violin
5,mid,HRSE,1,Violin
5,mid,congr.,2,Violin
5,high,LRSE,5,Violin
5,high,MRSE,6,Violin
5,high,HRSE,6,Violin
5,high,congr.,6,Violin
6,low,LRSE,1,Violin
6,low,MRSE,1,Violin
6,low,HRSE,1,Violin
6,low,congr.,1,Violin
6,mid,LRSE,2.25,Violin
6,mid,MRSE,2.25,Violin
6,mid,HRSE,1,Violin
6,mid,congr.,2.25,Violin
6,high,LRSE,2.25,Violin
6,high,MRSE,2.25,Violin
6,high,HRSE,2.25,Violin
6,high,congr.,2.25,Violin
7,low,LRSE,1,Violin
7,low,MRSE,1,Violin
7,low,HRSE,1,Violin
7,low,congr.,1,Violin
7,mid,LRSE,1,Violin
7,mid,MRSE,1,Violin
7,mid,HRSE,1,Violin
7,mid,congr.,1,Violin
7,high,LRSE,4,Violin
7,high,MRSE,1,Violin
7,high,HRSE,4,Violin
7,high,congr.,1,Violin
8,low,LRSE,1,Violin
8,low,MRSE,1,Violin
8,low,HRSE,1,Violin
8,low,congr.,1,Violin
8,mid,LRSE,2,Violin
8,mid,MRSE,1,Violin
8,mid,HRSE,2,Violin
8,mid,congr.,2,Violin
8,high,LRSE,1,Violin
8,high,MRSE,1,Violin
8,high,HRSE,3,Violin
8,high,congr.,1,Violin
9,low,LRSE,1,Violin
9,low,MRSE,1,Violin
9,low,HRSE,1,Violin
9,low,congr.,1,Violin
9,mid,LRSE,3.5,Violin
9,mid,MRSE,3.5,Violin
9,mid,HRSE,3.5,Violin
9,mid,congr.,3.5,Violin
9,high,LRSE,3.5,Violin
9,high,MRSE,3.5,Violin
9,high,HRSE,3.5,Violin
9,high,congr.,3.5,Violin
10,low,LRSE,2.25,Violin
10,low,MRSE,2.25,Violin
10,low,HRSE,2.25,Violin
10,low,congr.,2.25,Violin
10,mid,LRSE,3.5,Violin
10,mid,MRSE,3.5,Violin
10,mid,HRSE,2.25,Violin
10,mid,congr.,3.5,Violin
10,high,LRSE,1,Violin
10,high,MRSE,4.75,Violin
10,high,HRSE,4.75,Violin
10,high,congr.,3.5,Violin
11,low,LRSE,6,Violin
11,low,MRSE,1,Violin
11,low,HRSE,1,Violin
11,low,congr.,1,Violin
11,mid,LRSE,6,Violin
11,mid,MRSE,6,Violin
11,mid,HRSE,1,Violin
11,mid,congr.,6,Violin
11,high,LRSE,1,Violin
11,high,MRSE,1,Violin
11,high,HRSE,6,Violin
11,high,congr.,1,Violin
12,low,LRSE,2,Violin
12,low,MRSE,4,Violin
12,low,HRSE,4,Violin
12,low,congr.,4,Violin
12,mid,LRSE,4,Violin
12,mid,MRSE,5,Violin
12,mid,HRSE,4,Violin
12,mid,congr.,5,Violin
12,high,LRSE,4,Violin
12,high,MRSE,4,Violin
12,high,HRSE,5,Violin
12,high,congr.,5,Violin
13,low,LRSE,4.75,Violin
13,low,MRSE,4.75,Violin
13,low,HRSE,3.5,Violin
13,low,congr.,2.25,Violin
13,mid,LRSE,3.5,Violin
13,mid,MRSE,3.5,Violin
13,mid,HRSE,3.5,Violin
13,mid,congr.,3.5,Violin
13,high,LRSE,2.25,Violin
13,high,MRSE,3.5,Violin
13,high,HRSE,4.75,Violin
13,high,congr.,2.25,Violin
14,low,LRSE,3.5,Violin
14,low,MRSE,6,Violin
14,low,HRSE,6,Violin
14,low,congr.,1,Violin
14,mid,LRSE,3.5,Violin
14,mid,MRSE,1,Violin
14,mid,HRSE,3.5,Violin
14,mid,congr.,1,Violin
14,high,LRSE,1,Violin
14,high,MRSE,1,Violin
14,high,HRSE,3.5,Violin
14,high,congr.,1,Violin
15,low,LRSE,2,Violin
15,low,MRSE,3,Violin
15,low,HRSE,1,Violin
15,low,congr.,2,Violin
15,mid,LRSE,4,Violin
15,mid,MRSE,5,Violin
15,mid,HRSE,1,Violin
15,mid,congr.,5,Violin
15,high,LRSE,5,Violin
15,high,MRSE,5,Violin
15,high,HRSE,4,Violin
15,high,congr.,4,Violin
16,low,LRSE,3,Violin
16,low,MRSE,6,Violin
16,low,HRSE,2,Violin
16,low,congr.,3,Violin
16,mid,LRSE,5,Violin
16,mid,MRSE,4,Violin
16,mid,HRSE,3,Violin
16,mid,congr.,4,Violin
16,high,LRSE,6,Violin
16,high,MRSE,6,Violin
16,high,HRSE,6,Violin
16,high,congr.,6,Violin
17,low,LRSE,3,Violin
17,low,MRSE,4,Violin
17,low,HRSE,1,Violin
17,low,congr.,3,Violin
17,mid,LRSE,2,Violin
17,mid,MRSE,2,Violin
17,mid,HRSE,2,Violin
17,mid,congr.,2,Violin
17,high,LRSE,5,Violin
17,high,MRSE,4,Violin
17,high,HRSE,4,Violin
17,high,congr.,5,Violin
18,low,LRSE,1,Violin
18,low,MRSE,4.75,Violin
18,low,HRSE,1,Violin
18,low,congr.,1,Violin
18,mid,LRSE,1,Violin
18,mid,MRSE,4.75,Violin
18,mid,HRSE,1,Violin
18,mid,congr.,2.25,Violin
18,high,LRSE,6,Violin
18,high,MRSE,6,Violin
18,high,HRSE,4.75,Violin
18,high,congr.,6,Violin
19,low,LRSE,1,Violin
19,low,MRSE,3,Violin
19,low,HRSE,2,Violin
19,low,congr.,2,Violin
19,mid,LRSE,3,Violin
19,mid,MRSE,2,Violin
19,mid,HRSE,4,Violin
19,mid,congr.,4,Violin
19,high,LRSE,3,Violin
19,high,MRSE,3,Violin
19,high,HRSE,3,Violin
19,high,congr.,3,Violin
20,low,LRSE,1,Violin
20,low,MRSE,1,Violin
20,low,HRSE,1,Violin
20,low,congr.,1,Violin
20,mid,LRSE,1,Violin
20,mid,MRSE,2,Violin
20,mid,HRSE,1,Violin
20,mid,congr.,2,Violin
20,high,LRSE,1,Violin
20,high,MRSE,1,Violin
20,high,HRSE,3,Violin
20,high,congr.,2,Violin
21,low,LRSE,1,Violin
21,low,MRSE,2,Violin
21,low,HRSE,1,Violin
21,low,congr.,1,Violin
21,mid,LRSE,2,Violin
21,mid,MRSE,4,Violin
21,mid,HRSE,1,Violin
21,mid,congr.,3,Violin
21,high,LRSE,2,Violin
21,high,MRSE,1,Violin
21,high,HRSE,1,Violin
21,high,congr.,2,Violin
22,low,LRSE,4.75,Violin
22,low,MRSE,3.5,Violin
22,low,HRSE,3.5,Violin
22,low,congr.,3.5,Violin
22,mid,LRSE,2.25,Violin
22,mid,MRSE,2.25,Violin
22,mid,HRSE,4.75,Violin
22,mid,congr.,4.75,Violin
22,high,LRSE,1,Violin
22,high,MRSE,3.5,Violin
22,high,HRSE,2.25,Violin
22,high,congr.,3.5,Violin
23,low,LRSE,6,Violin
23,low,MRSE,3.5,Violin
23,low,HRSE,2.25,Violin
23,low,congr.,4.75,Violin
23,mid,LRSE,3.5,Violin
23,mid,MRSE,2.25,Violin
23,mid,HRSE,2.25,Violin
23,mid,congr.,4.75,Violin
23,high,LRSE,3.5,Violin
23,high,MRSE,2.25,Violin
23,high,HRSE,4.75,Violin
23,high,congr.,2.25,Violin
24,low,LRSE,4,Violin
24,low,MRSE,2,Violin
24,low,HRSE,2,Violin
24,low,congr.,3,Violin
24,mid,LRSE,5,Violin
24,mid,MRSE,5,Violin
24,mid,HRSE,2,Violin
24,mid,congr.,5,Violin
24,high,LRSE,4,Violin
24,high,MRSE,5,Violin
24,high,HRSE,5,Violin
24,high,congr.,5,Violin
25,low,LRSE,6,Violin
25,low,MRSE,2.66666666666667,Violin
25,low,HRSE,2.66666666666667,Violin
25,low,congr.,6,Violin
25,mid,LRSE,2.66666666666667,Violin
25,mid,MRSE,2.66666666666667,Violin
25,mid,HRSE,2.66666666666667,Violin
25,mid,congr.,4.33333333333333,Violin
25,high,LRSE,4.33333333333333,Violin
25,high,MRSE,4.33333333333333,Violin
25,high,HRSE,4.33333333333333,Violin
25,high,congr.,6,Violin
26,low,LRSE,2.66666666666667,Violin
26,low,MRSE,4.33333333333333,Violin
26,low,HRSE,4.33333333333333,Violin
26,low,congr.,6,Violin
26,mid,LRSE,2.66666666666667,Violin
26,mid,MRSE,4.33333333333333,Violin
26,mid,HRSE,2.66666666666667,Violin
26,mid,congr.,4.33333333333333,Violin
26,high,LRSE,2.66666666666667,Violin
26,high,MRSE,2.66666666666667,Violin
26,high,HRSE,2.66666666666667,Violin
26,high,congr.,2.66666666666667,Violin
27,low,LRSE,2,Violin
27,low,MRSE,3,Violin
27,low,HRSE,1,Violin
27,low,congr.,3,Violin
27,mid,LRSE,1,Violin
27,mid,MRSE,3,Violin
27,mid,HRSE,1,Violin
27,mid,congr.,3,Violin
27,high,LRSE,4,Violin
27,high,MRSE,5,Violin
27,high,HRSE,4,Violin
27,high,congr.,4,Violin
28,low,LRSE,5,Violin
28,low,MRSE,4,Violin
28,low,HRSE,1,Violin
28,low,congr.,3,Violin
28,mid,LRSE,4,Violin
28,mid,MRSE,3,Violin
28,mid,HRSE,2,Violin
28,mid,congr.,4,Violin
28,high,LRSE,2,Violin
28,high,MRSE,2,Violin
28,high,HRSE,3,Violin
28,high,congr.,4,Violin
29,low,LRSE,5,Violin
29,low,MRSE,2,Violin
29,low,HRSE,1,Violin
29,low,congr.,2,Violin
29,mid,LRSE,5,Violin
29,mid,MRSE,5,Violin
29,mid,HRSE,2,Violin
29,mid,congr.,5,Violin
29,high,LRSE,2,Violin
29,high,MRSE,1,Violin
29,high,HRSE,4,Violin
29,high,congr.,1,Violin
30,low,LRSE,2.25,Violin
30,low,MRSE,6,Violin
30,low,HRSE,3.5,Violin
30,low,congr.,3.5,Violin
30,mid,LRSE,4.75,Violin
30,mid,MRSE,4.75,Violin
30,mid,HRSE,3.5,Violin
30,mid,congr.,4.75,Violin
30,high,LRSE,6,Violin
30,high,MRSE,6,Violin
30,high,HRSE,6,Violin
30,high,congr.,6,Violin
31,low,LRSE,2.25,Violin
31,low,MRSE,2.25,Violin
31,low,HRSE,2.25,Violin
31,low,congr.,2.25,Violin
31,mid,LRSE,2.25,Violin
31,mid,MRSE,2.25,Violin
31,mid,HRSE,2.25,Violin
31,mid,congr.,2.25,Violin
31,high,LRSE,2.25,Violin
31,high,MRSE,3.5,Violin
31,high,HRSE,2.25,Violin
31,high,congr.,2.25,Violin
32,low,LRSE,2,Violin
32,low,MRSE,2,Violin
32,low,HRSE,2,Violin
32,low,congr.,1,Violin
32,mid,LRSE,3,Violin
32,mid,MRSE,5,Violin
32,mid,HRSE,2,Violin
32,mid,congr.,4,Violin
32,high,LRSE,5,Violin
32,high,MRSE,5,Violin
32,high,HRSE,6,Violin
32,high,congr.,5,Violin
33,low,LRSE,2.25,Violin
33,low,MRSE,2.25,Violin
33,low,HRSE,2.25,Violin
33,low,congr.,2.25,Violin
33,mid,LRSE,3.5,Violin
33,mid,MRSE,3.5,Violin
33,mid,HRSE,2.25,Violin
33,mid,congr.,3.5,Violin
33,high,LRSE,4.75,Violin
33,high,MRSE,4.75,Violin
33,high,HRSE,2.25,Violin
33,high,congr.,3.5,Violin
34,low,LRSE,3.5,Violin
34,low,MRSE,3.5,Violin
34,low,HRSE,1,Violin
34,low,congr.,3.5,Violin
34,mid,LRSE,3.5,Violin
34,mid,MRSE,4.75,Violin
34,mid,HRSE,2.25,Violin
34,mid,congr.,3.5,Violin
34,high,LRSE,4.75,Violin
34,high,MRSE,3.5,Violin
34,high,HRSE,3.5,Violin
34,high,congr.,4.75,Violin
35,low,LRSE,1,Violin
35,low,MRSE,1,Violin
35,low,HRSE,1,Violin
35,low,congr.,1,Violin
35,mid,LRSE,1,Violin
35,mid,MRSE,1,Violin
35,mid,HRSE,1,Violin
35,mid,congr.,2.66666666666667,Violin
35,high,LRSE,4.33333333333333,Violin
35,high,MRSE,2.66666666666667,Violin
35,high,HRSE,2.66666666666667,Violin
35,high,congr.,4.33333333333333,Violin
36,low,LRSE,3.5,Violin
36,low,MRSE,3.5,Violin
36,low,HRSE,3.5,Violin
36,low,congr.,3.5,Violin
36,mid,LRSE,2.25,Violin
36,mid,MRSE,3.5,Violin
36,mid,HRSE,3.5,Violin
36,mid,congr.,3.5,Violin
36,high,LRSE,3.5,Violin
36,high,MRSE,2.25,Violin
36,high,HRSE,2.25,Violin
36,high,congr.,3.5,Violin
37,low,LRSE,1,Violin
37,low,MRSE,2,Violin
37,low,HRSE,1,Violin
37,low,congr.,2,Violin
37,mid,LRSE,2,Violin
37,mid,MRSE,5,Violin
37,mid,HRSE,1,Violin
37,mid,congr.,5,Violin
37,high,LRSE,4,Violin
37,high,MRSE,3,Violin
37,high,HRSE,4,Violin
37,high,congr.,2,Violin
38,low,LRSE,2,Violin
38,low,MRSE,2,Violin
38,low,HRSE,1,Violin
38,low,congr.,2,Violin
38,mid,LRSE,2,Violin
38,mid,MRSE,2,Violin
38,mid,HRSE,2,Violin
38,mid,congr.,2,Violin
38,high,LRSE,1,Violin
38,high,MRSE,1,Violin
38,high,HRSE,2,Violin
38,high,congr.,3,Violin
1,low,LRSE,3,Alto voice
1,low,MRSE,1,Alto voice
1,low,HRSE,1,Alto voice
1,low,congr.,3,Alto voice
1,mid,LRSE,3,Alto voice
1,mid,MRSE,1,Alto voice
1,mid,HRSE,2,Alto voice
1,mid,congr.,2,Alto voice
1,high,LRSE,3,Alto voice
1,high,MRSE,2,Alto voice
1,high,HRSE,4,Alto voice
1,high,congr.,4,Alto voice
2,low,LRSE,6,Alto voice
2,low,MRSE,6,Alto voice
2,low,HRSE,5,Alto voice
2,low,congr.,6,Alto voice
2,mid,LRSE,6,Alto voice
2,mid,MRSE,5,Alto voice
2,mid,HRSE,3,Alto voice
2,mid,congr.,6,Alto voice
2,high,LRSE,3,Alto voice
2,high,MRSE,3,Alto voice
2,high,HRSE,5,Alto voice
2,high,congr.,5,Alto voice
3,low,LRSE,4,Alto voice
3,low,MRSE,2,Alto voice
3,low,HRSE,4,Alto voice
3,low,congr.,4,Alto voice
3,mid,LRSE,5,Alto voice
3,mid,MRSE,2,Alto voice
3,mid,HRSE,2,Alto voice
3,mid,congr.,5,Alto voice
3,high,LRSE,4,Alto voice
3,high,MRSE,4,Alto voice
3,high,HRSE,5,Alto voice
3,high,congr.,3,Alto voice
4,low,LRSE,3,Alto voice
4,low,MRSE,4,Alto voice
4,low,HRSE,2,Alto voice
4,low,congr.,4,Alto voice
4,mid,LRSE,5,Alto voice
4,mid,MRSE,4,Alto voice
4,mid,HRSE,5,Alto voice
4,mid,congr.,4,Alto voice
4,high,LRSE,4,Alto voice
4,high,MRSE,4,Alto voice
4,high,HRSE,5,Alto voice
4,high,congr.,5,Alto voice
5,low,LRSE,5,Alto voice
5,low,MRSE,5,Alto voice
5,low,HRSE,4,Alto voice
5,low,congr.,5,Alto voice
5,mid,LRSE,2,Alto voice
5,mid,MRSE,3,Alto voice
5,mid,HRSE,4,Alto voice
5,mid,congr.,3,Alto voice
5,high,LRSE,2,Alto voice
5,high,MRSE,5,Alto voice
5,high,HRSE,3,Alto voice
5,high,congr.,2,Alto voice
6,low,LRSE,1,Alto voice
6,low,MRSE,1,Alto voice
6,low,HRSE,1,Alto voice
6,low,congr.,1,Alto voice
6,mid,LRSE,1,Alto voice
6,mid,MRSE,1,Alto voice
6,mid,HRSE,1,Alto voice
6,mid,congr.,1,Alto voice
6,high,LRSE,1,Alto voice
6,high,MRSE,1,Alto voice
6,high,HRSE,1,Alto voice
6,high,congr.,1,Alto voice
7,low,LRSE,1,Alto voice
7,low,MRSE,1,Alto voice
7,low,HRSE,1,Alto voice
7,low,congr.,2,Alto voice
7,mid,LRSE,3,Alto voice
7,mid,MRSE,1,Alto voice
7,mid,HRSE,1,Alto voice
7,mid,congr.,1,Alto voice
7,high,LRSE,4,Alto voice
7,high,MRSE,4,Alto voice
7,high,HRSE,5,Alto voice
7,high,congr.,4,Alto voice
8,low,LRSE,2,Alto voice
8,low,MRSE,1,Alto voice
8,low,HRSE,1,Alto voice
8,low,congr.,2,Alto voice
8,mid,LRSE,2,Alto voice
8,mid,MRSE,1,Alto voice
8,mid,HRSE,1,Alto voice
8,mid,congr.,2,Alto voice
8,high,LRSE,2,Alto voice
8,high,MRSE,1,Alto voice
8,high,HRSE,2,Alto voice
8,high,congr.,2,Alto voice
9,low,LRSE,3.5,Alto voice
9,low,MRSE,3.5,Alto voice
9,low,HRSE,6,Alto voice
9,low,congr.,6,Alto voice
9,mid,LRSE,6,Alto voice
9,mid,MRSE,3.5,Alto voice
9,mid,HRSE,6,Alto voice
9,mid,congr.,3.5,Alto voice
9,high,LRSE,3.5,Alto voice
9,high,MRSE,3.5,Alto voice
9,high,HRSE,3.5,Alto voice
9,high,congr.,3.5,Alto voice
10,low,LRSE,2.25,Alto voice
10,low,MRSE,2.25,Alto voice
10,low,HRSE,2.25,Alto voice
10,low,congr.,2.25,Alto voice
10,mid,LRSE,4.75,Alto voice
10,mid,MRSE,4.75,Alto voice
10,mid,HRSE,3.5,Alto voice
10,mid,congr.,4.75,Alto voice
10,high,LRSE,3.5,Alto voice
10,high,MRSE,3.5,Alto voice
10,high,HRSE,3.5,Alto voice
10,high,congr.,3.5,Alto voice
11,low,LRSE,6,Alto voice
11,low,MRSE,6,Alto voice
11,low,HRSE,6,Alto voice
11,low,congr.,6,Alto voice
11,mid,LRSE,6,Alto voice
11,mid,MRSE,6,Alto voice
11,mid,HRSE,6,Alto voice
11,mid,congr.,1,Alto voice
11,high,LRSE,6,Alto voice
11,high,MRSE,1,Alto voice
11,high,HRSE,1,Alto voice
11,high,congr.,1,Alto voice
12,low,LRSE,4,Alto voice
12,low,MRSE,3,Alto voice
12,low,HRSE,2,Alto voice
12,low,congr.,3,Alto voice
12,mid,LRSE,2,Alto voice
12,mid,MRSE,2,Alto voice
12,mid,HRSE,2,Alto voice
12,mid,congr.,4,Alto voice
12,high,LRSE,3,Alto voice
12,high,MRSE,3,Alto voice
12,high,HRSE,3,Alto voice
12,high,congr.,3,Alto voice
13,low,LRSE,3.5,Alto voice
13,low,MRSE,4.75,Alto voice
13,low,HRSE,2.25,Alto voice
13,low,congr.,3.5,Alto voice
13,mid,LRSE,4.75,Alto voice
13,mid,MRSE,3.5,Alto voice
13,mid,HRSE,2.25,Alto voice
13,mid,congr.,3.5,Alto voice
13,high,LRSE,3.5,Alto voice
13,high,MRSE,4.75,Alto voice
13,high,HRSE,3.5,Alto voice
13,high,congr.,3.5,Alto voice
14,low,LRSE,3.5,Alto voice
