participants,register,condition,response,instrument
14,low,MRSE,6,Alto voice
14,low,HRSE,1,Alto voice
14,low,congr.,3.5,Alto voice
14,mid,LRSE,3.5,Alto voice
14,mid,MRSE,3.5,Alto voice
14,mid,HRSE,1,Alto voice
14,mid,congr.,3.5,Alto voice
14,high,LRSE,3.5,Alto voice
14,high,MRSE,3.5,Alto voice
14,high,HRSE,3.5,Alto voice
14,high,congr.,3.5,Alto voice
15,low,LRSE,5,Alto voice
15,low,MRSE,4,Alto voice
15,low,HRSE,3,Alto voice
15,low,congr.,4,Alto voice
15,mid,LRSE,5,Alto voice
15,mid,MRSE,5,Alto voice
15,mid,HRSE,4,Alto voice
15,mid,congr.,4,Alto voice
15,high,LRSE,5,Alto voice
15,high,MRSE,5,Alto voice
15,high,HRSE,5,Alto voice
15,high,congr.,4,Alto voice
16,low,LRSE,1,Alto voice
16,low,MRSE,1,Alto voice
16,low,HRSE,1,Alto voice
16,low,congr.,1,Alto voice
16,mid,LRSE,1,Alto voice
16,mid,MRSE,1,Alto voice
16,mid,HRSE,1,Alto voice
16,mid,congr.,1,Alto voice
16,high,LRSE,1,Alto voice
16,high,MRSE,1,Alto voice
16,high,HRSE,2,Alto voice
16,high,congr.,1,Alto voice
17,low,LRSE,2,Alto voice
17,low,MRSE,2,Alto voice
17,low,HRSE,3,Alto voice
17,low,congr.,5,Alto voice
17,mid,LRSE,5,Alto voice
17,mid,MRSE,5,Alto voice
17,mid,HRSE,2,Alto voice
17,mid,congr.,4,Alto voice
17,high,LRSE,2,Alto voice
17,high,MRSE,2,Alto voice
17,high,HRSE,3,Alto voice
17,high,congr.,5,Alto voice
18,low,LRSE,4.75,Alto voice
18,low,MRSE,2.25,Alto voice
18,low,HRSE,3.5,Alto voice
18,low,congr.,1,Alto voice
18,mid,LRSE,4.75,Alto voice
18,mid,MRSE,6,Alto voice
18,mid,HRSE,2.25,Alto voice
18,mid,congr.,6,Alto voice
18,high,LRSE,6,Alto voice
18,high,MRSE,1,Alto voice
18,high,HRSE,6,Alto voice
18,high,congr.,6,Alto voice
19,low,LRSE,4,Alto voice
19,low,MRSE,4,Alto voice
19,low,HRSE,4,Alto voice
19,low,congr.,3,Alto voice
19,mid,LRSE,3,Alto voice
19,mid,MRSE,1,Alto voice
19,mid,HRSE,1,Alto voice
19,mid,congr.,4,Alto voice
19,high,LRSE,2,Alto voice
19,high,MRSE,3,Alto voice
19,high,HRSE,2,Alto voice
19,high,congr.,1,Alto voice
20,low,LRSE,5,Alto voice
20,low,MRSE,6,Alto voice
20,low,HRSE,2,Alto voice
20,low,congr.,4,Alto voice
20,mid,LRSE,5,Alto voice
20,mid,MRSE,6,Alto voice
20,mid,HRSE,3,Alto voice
20,mid,congr.,6,Alto voice
20,high,LRSE,2,Alto voice
20,high,MRSE,3,Alto voice
20,high,HRSE,3,Alto voice
20,high,congr.,2,Alto voice
21,low,LRSE,1,Alto voice
21,low,MRSE,1,Alto voice
21,low,HRSE,1,Alto voice
21,low,congr.,3,Alto voice
21,mid,LRSE,2,Alto voice
21,mid,MRSE,3,Alto voice
21,mid,HRSE,1,Alto voice
21,mid,congr.,2,Alto voice
21,high,LRSE,3,Alto voice
21,high,MRSE,2,Alto voice
21,high,HRSE,3,Alto voice
21,high,congr.,5,Alto voice
22,low,LRSE,4.75,Alto voice
22,low,MRSE,4.75,Alto voice
22,low,HRSE,4.75,Alto voice
22,low,congr.,4.75,Alto voice
22,mid,LRSE,3.5,Alto voice
22,mid,MRSE,2.25,Alto voice
22,mid,HRSE,4.75,Alto voice
22,mid,congr.,2.25,Alto voice
22,high,LRSE,2.25,Alto voice
22,high,MRSE,4.75,Alto voice
22,high,HRSE,4.75,Alto voice
22,high,congr.,2.25,Alto voice
23,low,LRSE,4.75,Alto voice
23,low,MRSE,2.25,Alto voice
23,low,HRSE,2.25,Alto voice
23,low,congr.,2.25,Alto voice
23,mid,LRSE,4.75,Alto voice
23,mid,MRSE,4.75,Alto voice
23,mid,HRSE,3.5,Alto voice
23,mid,congr.,4.75,Alto voice
23,high,LRSE,1,Alto voice
23,high,MRSE,3.5,Alto voice
23,high,HRSE,4.75,Alto voice
23,high,congr.,2.25,Alto voice
24,low,LRSE,6,Alto voice
24,low,MRSE,6,Alto voice
24,low,HRSE,5,Alto voice
24,low,congr.,5,Alto voice
24,mid,LRSE,1,Alto voice
24,mid,MRSE,1,Alto voice
24,mid,HRSE,2,Alto voice
24,mid,congr.,2,Alto voice
24,high,LRSE,2,Alto voice
24,high,MRSE,1,Alto voice
24,high,HRSE,1,Alto voice
24,high,congr.,2,Alto voice
25,low,LRSE,2.66666666666667,Alto voice
25,low,MRSE,4.33333333333333,Alto voice
25,low,HRSE,1,Alto voice
25,low,congr.,2.66666666666667,Alto voice
25,mid,LRSE,4.33333333333333,Alto voice
25,mid,MRSE,2.66666666666667,Alto voice
25,mid,HRSE,4.33333333333333,Alto voice
25,mid,congr.,2.66666666666667,Alto voice
25,high,LRSE,2.66666666666667,Alto voice
25,high,MRSE,2.66666666666667,Alto voice
25,high,HRSE,2.66666666666667,Alto voice
25,high,congr.,4.33333333333333,Alto voice
26,low,LRSE,4.33333333333333,Alto voice
26,low,MRSE,4.33333333333333,Alto voice
26,low,HRSE,4.33333333333333,Alto voice
26,low,congr.,6,Alto voice
26,mid,LRSE,4.33333333333333,Alto voice
26,mid,MRSE,4.33333333333333,Alto voice
26,mid,HRSE,4.33333333333333,Alto voice
26,mid,congr.,4.33333333333333,Alto voice
26,high,LRSE,2.66666666666667,Alto voice
26,high,MRSE,4.33333333333333,Alto voice
26,high,HRSE,2.66666666666667,Alto voice
26,high,congr.,4.33333333333333,Alto voice
27,low,LRSE,4,Alto voice
27,low,MRSE,4,Alto voice
27,low,HRSE,2,Alto voice
27,low,congr.,5,Alto voice
27,mid,LRSE,6,Alto voice
27,mid,MRSE,5,Alto voice
27,mid,HRSE,3,Alto voice
27,mid,congr.,6,Alto voice
27,high,LRSE,5,Alto voice
27,high,MRSE,3,Alto voice
27,high,HRSE,4,Alto voice
27,high,congr.,5,Alto voice
28,low,LRSE,6,Alto voice
28,low,MRSE,6,Alto voice
28,low,HRSE,3,Alto voice
28,low,congr.,6,Alto voice
28,mid,LRSE,5,Alto voice
28,mid,MRSE,5,Alto voice
28,mid,HRSE,3,Alto voice
28,mid,congr.,6,Alto voice
28,high,LRSE,4,Alto voice
28,high,MRSE,4,Alto voice
28,high,HRSE,5,Alto voice
28,high,congr.,6,Alto voice
29,low,LRSE,5,Alto voice
29,low,MRSE,3,Alto voice
29,low,HRSE,1,Alto voice
29,low,congr.,4,Alto voice
29,mid,LRSE,4,Alto voice
29,mid,MRSE,5,Alto voice
29,mid,HRSE,2,Alto voice
29,mid,congr.,2,Alto voice
29,high,LRSE,3,Alto voice
29,high,MRSE,2,Alto voice
29,high,HRSE,2,Alto voice
29,high,congr.,4,Alto voice
30,low,LRSE,4.75,Alto voice
30,low,MRSE,4.75,Alto voice
30,low,HRSE,4.75,Alto voice
30,low,congr.,4.75,Alto voice
30,mid,LRSE,3.5,Alto voice
30,mid,MRSE,3.5,Alto voice
30,mid,HRSE,6,Alto voice
30,mid,congr.,4.75,Alto voice
30,high,LRSE,4.75,Alto voice
30,high,MRSE,6,Alto voice
30,high,HRSE,4.75,Alto voice
30,high,congr.,4.75,Alto voice
31,low,LRSE,3.5,Alto voice
31,low,MRSE,3.5,Alto voice
31,low,HRSE,4.75,Alto voice
31,low,congr.,3.5,Alto voice
31,mid,LRSE,3.5,Alto voice
31,mid,MRSE,3.5,Alto voice
31,mid,HRSE,3.5,Alto voice
31,mid,congr.,3.5,Alto voice
31,high,LRSE,3.5,Alto voice
31,high,MRSE,3.5,Alto voice
31,high,HRSE,3.5,Alto voice
31,high,congr.,3.5,Alto voice
32,low,LRSE,2,Alto voice
32,low,MRSE,5,Alto voice
32,low,HRSE,5,Alto voice
32,low,congr.,3,Alto voice
32,mid,LRSE,1,Alto voice
32,mid,MRSE,1,Alto voice
32,mid,HRSE,4,Alto voice
32,mid,congr.,2,Alto voice
32,high,LRSE,2,Alto voice
32,high,MRSE,2,Alto voice
32,high,HRSE,2,Alto voice
32,high,congr.,3,Alto voice
33,low,LRSE,2.25,Alto voice
33,low,MRSE,2.25,Alto voice
33,low,HRSE,2.25,Alto voice
33,low,congr.,2.25,Alto voice
33,mid,LRSE,2.25,Alto voice
33,mid,MRSE,2.25,Alto voice
33,mid,HRSE,2.25,Alto voice
33,mid,congr.,2.25,Alto voice
33,high,LRSE,2.25,Alto voice
33,high,MRSE,2.25,Alto voice
33,high,HRSE,2.25,Alto voice
33,high,congr.,2.25,Alto voice
34,low,LRSE,4.75,Alto voice
34,low,MRSE,4.75,Alto voice
34,low,HRSE,2.25,Alto voice
34,low,congr.,4.75,Alto voice
34,mid,LRSE,4.75,Alto voice
34,mid,MRSE,4.75,Alto voice
34,mid,HRSE,3.5,Alto voice
34,mid,congr.,6,Alto voice
34,high,LRSE,4.75,Alto voice
34,high,MRSE,4.75,Alto voice
34,high,HRSE,6,Alto voice
34,high,congr.,4.75,Alto voice
35,low,LRSE,1,Alto voice
35,low,MRSE,2.66666666666667,Alto voice
35,low,HRSE,1,Alto voice
35,low,congr.,2.66666666666667,Alto voice
35,mid,LRSE,4.33333333333333,Alto voice
35,mid,MRSE,2.66666666666667,Alto voice
35,mid,HRSE,2.66666666666667,Alto voice
35,mid,congr.,1,Alto voice
35,high,LRSE,2.66666666666667,Alto voice
35,high,MRSE,2.66666666666667,Alto voice
35,high,HRSE,1,Alto voice
35,high,congr.,2.66666666666667,Alto voice
36,low,LRSE,4.75,Alto voice
36,low,MRSE,3.5,Alto voice
36,low,HRSE,3.5,Alto voice
36,low,congr.,4.75,Alto voice
36,mid,LRSE,4.75,Alto voice
36,mid,MRSE,4.75,Alto voice
36,mid,HRSE,3.5,Alto voice
36,mid,congr.,4.75,Alto voice
36,high,LRSE,4.75,Alto voice
36,high,MRSE,3.5,Alto voice
36,high,HRSE,4.75,Alto voice
36,high,congr.,4.75,Alto voice
37,low,LRSE,3,Alto voice
37,low,MRSE,2,Alto voice
37,low,HRSE,2,Alto voice
37,low,congr.,3,Alto voice
37,mid,LRSE,5,Alto voice
37,mid,MRSE,4,Alto voice
37,mid,HRSE,3,Alto voice
37,mid,congr.,3,Alto voice
37,high,LRSE,5,Alto voice
37,high,MRSE,1,Alto voice
37,high,HRSE,5,Alto voice
37,high,congr.,4,Alto voice
38,low,LRSE,5,Alto voice
38,low,MRSE,5,Alto voice
38,low,HRSE,5,Alto voice
38,low,congr.,5,Alto voice
38,mid,LRSE,4,Alto voice
38,mid,MRSE,4,Alto voice
38,mid,HRSE,4,Alto voice
38,mid,congr.,5,Alto voice
38,high,LRSE,5,Alto voice
38,high,MRSE,4,Alto voice
38,high,HRSE,4,Alto voice
38,high,congr.,5,Alto voice
1,low,LRSE,2,Clarinet
1,low,MRSE,5,Clarinet
1,low,HRSE,4,Clarinet
1,low,congr.,3,Clarinet
1,mid,LRSE,4,Clarinet
1,mid,MRSE,2,Clarinet
1,mid,HRSE,2,Clarinet
1,mid,congr.,3,Clarinet
1,high,LRSE,2,Clarinet
1,high,MRSE,5,Clarinet
1,high,HRSE,2,Clarinet
1,high,congr.,5,Clarinet
2,low,LRSE,4,Clarinet
2,low,MRSE,3,Clarinet
2,low,HRSE,4,Clarinet
2,low,congr.,5,Clarinet
2,mid,LRSE,5,Clarinet
2,mid,MRSE,6,Clarinet
2,mid,HRSE,4,Clarinet
2,mid,congr.,5,Clarinet
2,high,LRSE,5,Clarinet
2,high,MRSE,5,Clarinet
2,high,HRSE,4,Clarinet
2,high,congr.,4,Clarinet
3,low,LRSE,6,Clarinet
3,low,MRSE,5,Clarinet
3,low,HRSE,3,Clarinet
3,low,congr.,5,Clarinet
3,mid,LRSE,3,Clarinet
3,mid,MRSE,5,Clarinet
3,mid,HRSE,2,Clarinet
3,mid,congr.,4,Clarinet
3,high,LRSE,5,Clarinet
3,high,MRSE,5,Clarinet
3,high,HRSE,6,Clarinet
3,high,congr.,3,Clarinet
4,low,LRSE,6,Clarinet
4,low,MRSE,6,Clarinet
4,low,HRSE,4,Clarinet
4,low,congr.,6,Clarinet
4,mid,LRSE,6,Clarinet
4,mid,MRSE,5,Clarinet
4,mid,HRSE,5,Clarinet
4,mid,congr.,5,Clarinet
4,high,LRSE,4,Clarinet
4,high,MRSE,5,Clarinet
4,high,HRSE,4,Clarinet
4,high,congr.,4,Clarinet
5,low,LRSE,6,Clarinet
5,low,MRSE,5,Clarinet
5,low,HRSE,4,Clarinet
5,low,congr.,6,Clarinet
5,mid,LRSE,4,Clarinet
5,mid,MRSE,5,Clarinet
5,mid,HRSE,4,Clarinet
5,mid,congr.,6,Clarinet
5,high,LRSE,2,Clarinet
5,high,MRSE,3,Clarinet
5,high,HRSE,3,Clarinet
5,high,congr.,2,Clarinet
6,low,LRSE,2.25,Clarinet
6,low,MRSE,1,Clarinet
6,low,HRSE,2.25,Clarinet
6,low,congr.,2.25,Clarinet
6,mid,LRSE,3.5,Clarinet
6,mid,MRSE,3.5,Clarinet
6,mid,HRSE,2.25,Clarinet
6,mid,congr.,4.75,Clarinet
6,high,LRSE,4.75,Clarinet
6,high,MRSE,3.5,Clarinet
6,high,HRSE,4.75,Clarinet
6,high,congr.,3.5,Clarinet
7,low,LRSE,4,Clarinet
7,low,MRSE,3,Clarinet
7,low,HRSE,2,Clarinet
7,low,congr.,1,Clarinet
7,mid,LRSE,5,Clarinet
7,mid,MRSE,5,Clarinet
7,mid,HRSE,4,Clarinet
7,mid,congr.,5,Clarinet
7,high,LRSE,6,Clarinet
7,high,MRSE,6,Clarinet
7,high,HRSE,4,Clarinet
7,high,congr.,5,Clarinet
8,low,LRSE,6,Clarinet
8,low,MRSE,5,Clarinet
8,low,HRSE,2,Clarinet
8,low,congr.,4,Clarinet
8,mid,LRSE,5,Clarinet
8,mid,MRSE,5,Clarinet
8,mid,HRSE,2,Clarinet
8,mid,congr.,4,Clarinet
8,high,LRSE,4,Clarinet
8,high,MRSE,3,Clarinet
8,high,HRSE,5,Clarinet
8,high,congr.,3,Clarinet
9,low,LRSE,3.5,Clarinet
9,low,MRSE,6,Clarinet
9,low,HRSE,6,Clarinet
9,low,congr.,3.5,Clarinet
9,mid,LRSE,3.5,Clarinet
9,mid,MRSE,3.5,Clarinet
9,mid,HRSE,1,Clarinet
9,mid,congr.,3.5,Clarinet
9,high,LRSE,6,Clarinet
9,high,MRSE,3.5,Clarinet
9,high,HRSE,3.5,Clarinet
9,high,congr.,3.5,Clarinet
10,low,LRSE,3.5,Clarinet
10,low,MRSE,4.75,Clarinet
10,low,HRSE,1,Clarinet
10,low,congr.,2.25,Clarinet
10,mid,LRSE,2.25,Clarinet
10,mid,MRSE,6,Clarinet
10,mid,HRSE,3.5,Clarinet
10,mid,congr.,4.75,Clarinet
10,high,LRSE,4.75,Clarinet
10,high,MRSE,3.5,Clarinet
10,high,HRSE,4.75,Clarinet
10,high,congr.,4.75,Clarinet
11,low,LRSE,1,Clarinet
11,low,MRSE,6,Clarinet
11,low,HRSE,6,Clarinet
11,low,congr.,6,Clarinet
11,mid,LRSE,6,Clarinet
11,mid,MRSE,6,Clarinet
11,mid,HRSE,1,Clarinet
11,mid,congr.,6,Clarinet
11,high,LRSE,6,Clarinet
11,high,MRSE,6,Clarinet
11,high,HRSE,6,Clarinet
11,high,congr.,1,Clarinet
12,low,LRSE,4,Clarinet
12,low,MRSE,4,Clarinet
12,low,HRSE,4,Clarinet
12,low,congr.,4,Clarinet
12,mid,LRSE,5,Clarinet
12,mid,MRSE,5,Clarinet
12,mid,HRSE,5,Clarinet
12,mid,congr.,5,Clarinet
12,high,LRSE,5,Clarinet
12,high,MRSE,6,Clarinet
12,high,HRSE,5,Clarinet
12,high,congr.,5,Clarinet
13,low,LRSE,4.75,Clarinet
13,low,MRSE,6,Clarinet
13,low,HRSE,2.25,Clarinet
13,low,congr.,4.75,Clarinet
13,mid,LRSE,3.5,Clarinet
13,mid,MRSE,3.5,Clarinet
13,mid,HRSE,2.25,Clarinet
13,mid,congr.,4.75,Clarinet
13,high,LRSE,3.5,Clarinet
13,high,MRSE,3.5,Clarinet
13,high,HRSE,4.75,Clarinet
13,high,congr.,1,Clarinet
14,low,LRSE,6,Clarinet
14,low,MRSE,6,Clarinet
14,low,HRSE,3.5,Clarinet
14,low,congr.,6,Clarinet
14,mid,LRSE,6,Clarinet
14,mid,MRSE,6,Clarinet
14,mid,HRSE,6,Clarinet
14,mid,congr.,3.5,Clarinet
14,high,LRSE,3.5,Clarinet
14,high,MRSE,6,Clarinet
14,high,HRSE,6,Clarinet
14,high,congr.,6,Clarinet
15,low,LRSE,6,Clarinet
15,low,MRSE,6,Clarinet
15,low,HRSE,5,Clarinet
15,low,congr.,6,Clarinet
15,mid,LRSE,5,Clarinet
15,mid,MRSE,6,Clarinet
15,mid,HRSE,6,Clarinet
15,mid,congr.,6,Clarinet
15,high,LRSE,4,Clarinet
15,high,MRSE,6,Clarinet
15,high,HRSE,5,Clarinet
15,high,congr.,4,Clarinet
16,low,LRSE,2,Clarinet
16,low,MRSE,1,Clarinet
16,low,HRSE,5,Clarinet
16,low,congr.,5,Clarinet
16,mid,LRSE,6,Clarinet
16,mid,MRSE,6,Clarinet
16,mid,HRSE,6,Clarinet
16,mid,congr.,3,Clarinet
16,high,LRSE,6,Clarinet
16,high,MRSE,6,Clarinet
16,high,HRSE,5,Clarinet
16,high,congr.,2,Clarinet
17,low,LRSE,4,Clarinet
17,low,MRSE,4,Clarinet
17,low,HRSE,5,Clarinet
17,low,congr.,5,Clarinet
17,mid,LRSE,5,Clarinet
17,mid,MRSE,6,Clarinet
17,mid,HRSE,3,Clarinet
17,mid,congr.,6,Clarinet
17,high,LRSE,5,Clarinet
17,high,MRSE,2,Clarinet
17,high,HRSE,2,Clarinet
17,high,congr.,4,Clarinet
18,low,LRSE,6,Clarinet
18,low,MRSE,6,Clarinet
18,low,HRSE,1,Clarinet
18,low,congr.,4.75,Clarinet
18,mid,LRSE,3.5,Clarinet
18,mid,MRSE,6,Clarinet
18,mid,HRSE,2.25,Clarinet
18,mid,congr.,6,Clarinet
18,high,LRSE,2.25,Clarinet
18,high,MRSE,1,Clarinet
18,high,HRSE,2.25,Clarinet
18,high,congr.,2.25,Clarinet
19,low,LRSE,5,Clarinet
19,low,MRSE,5,Clarinet
19,low,HRSE,4,Clarinet
19,low,congr.,6,Clarinet
19,mid,LRSE,5,Clarinet
19,mid,MRSE,6,Clarinet
19,mid,HRSE,4,Clarinet
19,mid,congr.,5,Clarinet
19,high,LRSE,5,Clarinet
19,high,MRSE,5,Clarinet
19,high,HRSE,6,Clarinet
19,high,congr.,6,Clarinet
20,low,LRSE,6,Clarinet
20,low,MRSE,4,Clarinet
20,low,HRSE,3,Clarinet
20,low,congr.,6,Clarinet
20,mid,LRSE,3,Clarinet
20,mid,MRSE,6,Clarinet
20,mid,HRSE,3,Clarinet
20,mid,congr.,6,Clarinet
20,high,LRSE,6,Clarinet
20,high,MRSE,3,Clarinet
20,high,HRSE,6,Clarinet
20,high,congr.,6,Clarinet
21,low,LRSE,5,Clarinet
21,low,MRSE,5,Clarinet
21,low,HRSE,2,Clarinet
21,low,congr.,5,Clarinet
21,mid,LRSE,2,Clarinet
21,mid,MRSE,5,Clarinet
21,mid,HRSE,2,Clarinet
21,mid,congr.,6,Clarinet
21,high,LRSE,5,Clarinet
21,high,MRSE,6,Clarinet
21,high,HRSE,5,Clarinet
21,high,congr.,4,Clarinet
22,low,LRSE,3.5,Clarinet
22,low,MRSE,3.5,Clarinet
22,low,HRSE,4.75,Clarinet
22,low,congr.,4.75,Clarinet
22,mid,LRSE,6,Clarinet
22,mid,MRSE,6,Clarinet
22,mid,HRSE,3.5,Clarinet
