participants,register,condition,response,instrument
22,mid,congr.,4.75,Clarinet
22,high,LRSE,2.25,Clarinet
22,high,MRSE,2.25,Clarinet
22,high,HRSE,2.25,Clarinet
22,high,congr.,2.25,Clarinet
23,low,LRSE,4.75,Clarinet
23,low,MRSE,3.5,Clarinet
23,low,HRSE,2.25,Clarinet
23,low,congr.,6,Clarinet
23,mid,LRSE,4.75,Clarinet
23,mid,MRSE,6,Clarinet
23,mid,HRSE,3.5,Clarinet
23,mid,congr.,6,Clarinet
23,high,LRSE,4.75,Clarinet
23,high,MRSE,6,Clarinet
23,high,HRSE,6,Clarinet
23,high,congr.,4.75,Clarinet
24,low,LRSE,5,Clarinet
24,low,MRSE,3,Clarinet
24,low,HRSE,2,Clarinet
24,low,congr.,5,Clarinet
24,mid,LRSE,5,Clarinet
24,mid,MRSE,6,Clarinet
24,mid,HRSE,3,Clarinet
24,mid,congr.,6,Clarinet
24,high,LRSE,6,Clarinet
24,high,MRSE,5,Clarinet
24,high,HRSE,6,Clarinet
24,high,congr.,5,Clarinet
25,low,LRSE,4.33333333333333,Clarinet
25,low,MRSE,6,Clarinet
25,low,HRSE,4.33333333333333,Clarinet
25,low,congr.,2.66666666666667,Clarinet
25,mid,LRSE,2.66666666666667,Clarinet
25,mid,MRSE,1,Clarinet
25,mid,HRSE,4.33333333333333,Clarinet
25,mid,congr.,4.33333333333333,Clarinet
25,high,LRSE,1,Clarinet
25,high,MRSE,4.33333333333333,Clarinet
25,high,HRSE,4.33333333333333,Clarinet
25,high,congr.,2.66666666666667,Clarinet
26,low,LRSE,4.33333333333333,Clarinet
26,low,MRSE,4.33333333333333,Clarinet
26,low,HRSE,4.33333333333333,Clarinet
26,low,congr.,6,Clarinet
26,mid,LRSE,6,Clarinet
26,mid,MRSE,4.33333333333333,Clarinet
26,mid,HRSE,4.33333333333333,Clarinet
26,mid,congr.,4.33333333333333,Clarinet
26,high,LRSE,4.33333333333333,Clarinet
26,high,MRSE,4.33333333333333,Clarinet
26,high,HRSE,4.33333333333333,Clarinet
26,high,congr.,4.33333333333333,Clarinet
27,low,LRSE,5,Clarinet
27,low,MRSE,4,Clarinet
27,low,HRSE,1,Clarinet
27,low,congr.,5,Clarinet
27,mid,LRSE,3,Clarinet
27,mid,MRSE,6,Clarinet
27,mid,HRSE,4,Clarinet
27,mid,congr.,6,Clarinet
27,high,LRSE,5,Clarinet
27,high,MRSE,4,Clarinet
27,high,HRSE,5,Clarinet
27,high,congr.,5,Clarinet
28,low,LRSE,6,Clarinet
28,low,MRSE,5,Clarinet
28,low,HRSE,2,Clarinet
28,low,congr.,6,Clarinet
28,mid,LRSE,6,Clarinet
28,mid,MRSE,6,Clarinet
28,mid,HRSE,5,Clarinet
28,mid,congr.,6,Clarinet
28,high,LRSE,6,Clarinet
28,high,MRSE,5,Clarinet
28,high,HRSE,6,Clarinet
28,high,congr.,6,Clarinet
29,low,LRSE,5,Clarinet
29,low,MRSE,4,Clarinet
29,low,HRSE,3,Clarinet
29,low,congr.,2,Clarinet
29,mid,LRSE,4,Clarinet
29,mid,MRSE,4,Clarinet
29,mid,HRSE,1,Clarinet
29,mid,congr.,5,Clarinet
29,high,LRSE,5,Clarinet
29,high,MRSE,3,Clarinet
29,high,HRSE,2,Clarinet
29,high,congr.,2,Clarinet
30,low,LRSE,4.75,Clarinet
30,low,MRSE,6,Clarinet
30,low,HRSE,6,Clarinet
30,low,congr.,4.75,Clarinet
30,mid,LRSE,4.75,Clarinet
30,mid,MRSE,6,Clarinet
30,mid,HRSE,6,Clarinet
30,mid,congr.,6,Clarinet
30,high,LRSE,6,Clarinet
30,high,MRSE,6,Clarinet
30,high,HRSE,6,Clarinet
30,high,congr.,6,Clarinet
31,low,LRSE,6,Clarinet
31,low,MRSE,4.75,Clarinet
31,low,HRSE,4.75,Clarinet
31,low,congr.,4.75,Clarinet
31,mid,LRSE,4.75,Clarinet
31,mid,MRSE,6,Clarinet
31,mid,HRSE,3.5,Clarinet
31,mid,congr.,6,Clarinet
31,high,LRSE,4.75,Clarinet
31,high,MRSE,6,Clarinet
31,high,HRSE,4.75,Clarinet
31,high,congr.,6,Clarinet
32,low,LRSE,4,Clarinet
32,low,MRSE,3,Clarinet
32,low,HRSE,1,Clarinet
32,low,congr.,3,Clarinet
32,mid,LRSE,4,Clarinet
32,mid,MRSE,4,Clarinet
32,mid,HRSE,3,Clarinet
32,mid,congr.,5,Clarinet
32,high,LRSE,5,Clarinet
32,high,MRSE,4,Clarinet
32,high,HRSE,6,Clarinet
32,high,congr.,4,Clarinet
33,low,LRSE,4.75,Clarinet
33,low,MRSE,6,Clarinet
33,low,HRSE,3.5,Clarinet
33,low,congr.,6,Clarinet
33,mid,LRSE,6,Clarinet
33,mid,MRSE,6,Clarinet
33,mid,HRSE,6,Clarinet
33,mid,congr.,6,Clarinet
33,high,LRSE,6,Clarinet
33,high,MRSE,6,Clarinet
33,high,HRSE,4.75,Clarinet
33,high,congr.,6,Clarinet
34,low,LRSE,6,Clarinet
34,low,MRSE,6,Clarinet
34,low,HRSE,2.25,Clarinet
34,low,congr.,6,Clarinet
34,mid,LRSE,4.75,Clarinet
34,mid,MRSE,6,Clarinet
34,mid,HRSE,4.75,Clarinet
34,mid,congr.,6,Clarinet
34,high,LRSE,4.75,Clarinet
34,high,MRSE,4.75,Clarinet
34,high,HRSE,4.75,Clarinet
34,high,congr.,4.75,Clarinet
35,low,LRSE,6,Clarinet
35,low,MRSE,6,Clarinet
35,low,HRSE,4.33333333333333,Clarinet
35,low,congr.,2.66666666666667,Clarinet
35,mid,LRSE,4.33333333333333,Clarinet
35,mid,MRSE,6,Clarinet
35,mid,HRSE,4.33333333333333,Clarinet
35,mid,congr.,6,Clarinet
35,high,LRSE,4.33333333333333,Clarinet
35,high,MRSE,6,Clarinet
35,high,HRSE,6,Clarinet
35,high,congr.,4.33333333333333,Clarinet
36,low,LRSE,4.75,Clarinet
36,low,MRSE,4.75,Clarinet
36,low,HRSE,3.5,Clarinet
36,low,congr.,6,Clarinet
36,mid,LRSE,4.75,Clarinet
36,mid,MRSE,6,Clarinet
36,mid,HRSE,4.75,Clarinet
36,mid,congr.,4.75,Clarinet
36,high,LRSE,4.75,Clarinet
36,high,MRSE,4.75,Clarinet
36,high,HRSE,4.75,Clarinet
36,high,congr.,4.75,Clarinet
37,low,LRSE,5,Clarinet
37,low,MRSE,4,Clarinet
37,low,HRSE,2,Clarinet
37,low,congr.,5,Clarinet
37,mid,LRSE,4,Clarinet
37,mid,MRSE,5,Clarinet
37,mid,HRSE,3,Clarinet
37,mid,congr.,6,Clarinet
37,high,LRSE,5,Clarinet
37,high,MRSE,5,Clarinet
37,high,HRSE,5,Clarinet
37,high,congr.,5,Clarinet
38,low,LRSE,6,Clarinet
38,low,MRSE,5,Clarinet
38,low,HRSE,3,Clarinet
38,low,congr.,6,Clarinet
38,mid,LRSE,5,Clarinet
38,mid,MRSE,5,Clarinet
38,mid,HRSE,3,Clarinet
38,mid,congr.,5,Clarinet
38,high,LRSE,4,Clarinet
38,high,MRSE,5,Clarinet
38,high,HRSE,4,Clarinet
38,high,congr.,4,Clarinet
1,low,LRSE,6,Tuba
1,low,MRSE,6,Tuba
1,low,HRSE,6,Tuba
1,low,congr.,6,Tuba
1,mid,LRSE,4,Tuba
1,mid,MRSE,5,Tuba
1,mid,HRSE,4,Tuba
1,mid,congr.,5,Tuba
1,high,LRSE,4,Tuba
1,high,MRSE,2,Tuba
1,high,HRSE,3,Tuba
1,high,congr.,5,Tuba
2,low,LRSE,6,Tuba
2,low,MRSE,6,Tuba
2,low,HRSE,6,Tuba
2,low,congr.,6,Tuba
2,mid,LRSE,6,Tuba
2,mid,MRSE,5,Tuba
2,mid,HRSE,6,Tuba
2,mid,congr.,6,Tuba
2,high,LRSE,4,Tuba
2,high,MRSE,4,Tuba
2,high,HRSE,4,Tuba
2,high,congr.,4,Tuba
3,low,LRSE,5,Tuba
3,low,MRSE,5,Tuba
3,low,HRSE,4,Tuba
3,low,congr.,6,Tuba
3,mid,LRSE,4,Tuba
3,mid,MRSE,4,Tuba
3,mid,HRSE,4,Tuba
3,mid,congr.,6,Tuba
3,high,LRSE,4,Tuba
3,high,MRSE,4,Tuba
3,high,HRSE,5,Tuba
3,high,congr.,5,Tuba
4,low,LRSE,4,Tuba
4,low,MRSE,3,Tuba
4,low,HRSE,3,Tuba
4,low,congr.,3,Tuba
4,mid,LRSE,5,Tuba
4,mid,MRSE,5,Tuba
4,mid,HRSE,4,Tuba
4,mid,congr.,5,Tuba
4,high,LRSE,5,Tuba
4,high,MRSE,4,Tuba
4,high,HRSE,4,Tuba
4,high,congr.,4,Tuba
5,low,LRSE,6,Tuba
5,low,MRSE,6,Tuba
5,low,HRSE,5,Tuba
5,low,congr.,5,Tuba
5,mid,LRSE,6,Tuba
5,mid,MRSE,6,Tuba
5,mid,HRSE,5,Tuba
5,mid,congr.,5,Tuba
5,high,LRSE,3,Tuba
5,high,MRSE,4,Tuba
5,high,HRSE,5,Tuba
5,high,congr.,4,Tuba
6,low,LRSE,6,Tuba
6,low,MRSE,6,Tuba
6,low,HRSE,6,Tuba
6,low,congr.,6,Tuba
6,mid,LRSE,4.75,Tuba
6,mid,MRSE,4.75,Tuba
6,mid,HRSE,3.5,Tuba
6,mid,congr.,4.75,Tuba
6,high,LRSE,3.5,Tuba
6,high,MRSE,3.5,Tuba
6,high,HRSE,2.25,Tuba
6,high,congr.,3.5,Tuba
7,low,LRSE,4,Tuba
7,low,MRSE,4,Tuba
7,low,HRSE,4,Tuba
7,low,congr.,4,Tuba
7,mid,LRSE,5,Tuba
7,mid,MRSE,4,Tuba
7,mid,HRSE,5,Tuba
7,mid,congr.,4,Tuba
7,high,LRSE,5,Tuba
7,high,MRSE,5,Tuba
7,high,HRSE,5,Tuba
7,high,congr.,5,Tuba
8,low,LRSE,5,Tuba
8,low,MRSE,5,Tuba
8,low,HRSE,5,Tuba
8,low,congr.,5,Tuba
8,mid,LRSE,4,Tuba
8,mid,MRSE,5,Tuba
8,mid,HRSE,5,Tuba
8,mid,congr.,5,Tuba
8,high,LRSE,4,Tuba
8,high,MRSE,3,Tuba
8,high,HRSE,4,Tuba
8,high,congr.,4,Tuba
9,low,LRSE,6,Tuba
9,low,MRSE,6,Tuba
9,low,HRSE,6,Tuba
9,low,congr.,6,Tuba
9,mid,LRSE,6,Tuba
9,mid,MRSE,6,Tuba
9,mid,HRSE,6,Tuba
9,mid,congr.,6,Tuba
9,high,LRSE,3.5,Tuba
9,high,MRSE,3.5,Tuba
9,high,HRSE,3.5,Tuba
9,high,congr.,3.5,Tuba
10,low,LRSE,3.5,Tuba
10,low,MRSE,3.5,Tuba
10,low,HRSE,4.75,Tuba
10,low,congr.,4.75,Tuba
10,mid,LRSE,4.75,Tuba
10,mid,MRSE,4.75,Tuba
10,mid,HRSE,4.75,Tuba
10,mid,congr.,4.75,Tuba
10,high,LRSE,4.75,Tuba
10,high,MRSE,3.5,Tuba
10,high,HRSE,4.75,Tuba
10,high,congr.,4.75,Tuba
11,low,LRSE,6,Tuba
11,low,MRSE,6,Tuba
11,low,HRSE,6,Tuba
11,low,congr.,6,Tuba
11,mid,LRSE,6,Tuba
11,mid,MRSE,6,Tuba
11,mid,HRSE,6,Tuba
11,mid,congr.,6,Tuba
11,high,LRSE,1,Tuba
11,high,MRSE,6,Tuba
11,high,HRSE,1,Tuba
11,high,congr.,6,Tuba
12,low,LRSE,1,Tuba
12,low,MRSE,1,Tuba
12,low,HRSE,1,Tuba
12,low,congr.,1,Tuba
12,mid,LRSE,3,Tuba
12,mid,MRSE,2,Tuba
12,mid,HRSE,3,Tuba
12,mid,congr.,2,Tuba
12,high,LRSE,6,Tuba
12,high,MRSE,5,Tuba
12,high,HRSE,6,Tuba
12,high,congr.,2,Tuba
13,low,LRSE,4.75,Tuba
13,low,MRSE,3.5,Tuba
13,low,HRSE,3.5,Tuba
13,low,congr.,3.5,Tuba
13,mid,LRSE,2.25,Tuba
13,mid,MRSE,4.75,Tuba
13,mid,HRSE,3.5,Tuba
13,mid,congr.,4.75,Tuba
13,high,LRSE,3.5,Tuba
13,high,MRSE,2.25,Tuba
13,high,HRSE,2.25,Tuba
13,high,congr.,2.25,Tuba
14,low,LRSE,6,Tuba
14,low,MRSE,6,Tuba
14,low,HRSE,6,Tuba
14,low,congr.,6,Tuba
14,mid,LRSE,6,Tuba
14,mid,MRSE,6,Tuba
14,mid,HRSE,6,Tuba
14,mid,congr.,6,Tuba
14,high,LRSE,6,Tuba
14,high,MRSE,6,Tuba
14,high,HRSE,6,Tuba
14,high,congr.,3.5,Tuba
15,low,LRSE,6,Tuba
15,low,MRSE,6,Tuba
15,low,HRSE,5,Tuba
15,low,congr.,6,Tuba
15,mid,LRSE,5,Tuba
15,mid,MRSE,6,Tuba
15,mid,HRSE,4,Tuba
15,mid,congr.,6,Tuba
15,high,LRSE,4,Tuba
15,high,MRSE,4,Tuba
15,high,HRSE,3,Tuba
15,high,congr.,4,Tuba
16,low,LRSE,6,Tuba
16,low,MRSE,6,Tuba
16,low,HRSE,6,Tuba
16,low,congr.,6,Tuba
16,mid,LRSE,4,Tuba
16,mid,MRSE,6,Tuba
16,mid,HRSE,6,Tuba
16,mid,congr.,6,Tuba
16,high,LRSE,2,Tuba
16,high,MRSE,3,Tuba
16,high,HRSE,3,Tuba
16,high,congr.,3,Tuba
17,low,LRSE,5,Tuba
17,low,MRSE,5,Tuba
17,low,HRSE,6,Tuba
17,low,congr.,5,Tuba
17,mid,LRSE,5,Tuba
17,mid,MRSE,6,Tuba
17,mid,HRSE,5,Tuba
17,mid,congr.,5,Tuba
17,high,LRSE,5,Tuba
17,high,MRSE,6,Tuba
17,high,HRSE,6,Tuba
17,high,congr.,2,Tuba
18,low,LRSE,6,Tuba
18,low,MRSE,4.75,Tuba
18,low,HRSE,6,Tuba
18,low,congr.,3.5,Tuba
18,mid,LRSE,3.5,Tuba
18,mid,MRSE,3.5,Tuba
18,mid,HRSE,2.25,Tuba
18,mid,congr.,3.5,Tuba
18,high,LRSE,2.25,Tuba
18,high,MRSE,2.25,Tuba
18,high,HRSE,2.25,Tuba
18,high,congr.,2.25,Tuba
19,low,LRSE,6,Tuba
19,low,MRSE,6,Tuba
19,low,HRSE,2,Tuba
19,low,congr.,5,Tuba
19,mid,LRSE,6,Tuba
19,mid,MRSE,6,Tuba
19,mid,HRSE,5,Tuba
19,mid,congr.,6,Tuba
19,high,LRSE,6,Tuba
19,high,MRSE,6,Tuba
19,high,HRSE,6,Tuba
19,high,congr.,5,Tuba
20,low,LRSE,6,Tuba
20,low,MRSE,6,Tuba
20,low,HRSE,6,Tuba
20,low,congr.,6,Tuba
20,mid,LRSE,6,Tuba
20,mid,MRSE,6,Tuba
20,mid,HRSE,6,Tuba
20,mid,congr.,6,Tuba
20,high,LRSE,6,Tuba
20,high,MRSE,6,Tuba
20,high,HRSE,6,Tuba
20,high,congr.,6,Tuba
21,low,LRSE,6,Tuba
21,low,MRSE,5,Tuba
21,low,HRSE,5,Tuba
21,low,congr.,5,Tuba
21,mid,LRSE,5,Tuba
21,mid,MRSE,3,Tuba
21,mid,HRSE,3,Tuba
21,mid,congr.,4,Tuba
21,high,LRSE,3,Tuba
21,high,MRSE,3,Tuba
21,high,HRSE,4,Tuba
21,high,congr.,5,Tuba
22,low,LRSE,6,Tuba
22,low,MRSE,6,Tuba
22,low,HRSE,6,Tuba
22,low,congr.,6,Tuba
22,mid,LRSE,6,Tuba
22,mid,MRSE,6,Tuba
22,mid,HRSE,3.5,Tuba
22,mid,congr.,4.75,Tuba
22,high,LRSE,3.5,Tuba
22,high,MRSE,1,Tuba
22,high,HRSE,3.5,Tuba
22,high,congr.,6,Tuba
23,low,LRSE,6,Tuba
23,low,MRSE,6,Tuba
23,low,HRSE,6,Tuba
23,low,congr.,6,Tuba
23,mid,LRSE,4.75,Tuba
23,mid,MRSE,6,Tuba
23,mid,HRSE,4.75,Tuba
23,mid,congr.,6,Tuba
23,high,LRSE,4.75,Tuba
23,high,MRSE,4.75,Tuba
23,high,HRSE,4.75,Tuba
23,high,congr.,4.75,Tuba
24,low,LRSE,6,Tuba
24,low,MRSE,6,Tuba
24,low,HRSE,6,Tuba
24,low,congr.,6,Tuba
24,mid,LRSE,6,Tuba
24,mid,MRSE,6,Tuba
24,mid,HRSE,6,Tuba
24,mid,congr.,5,Tuba
24,high,LRSE,4,Tuba
24,high,MRSE,6,Tuba
24,high,HRSE,4,Tuba
24,high,congr.,5,Tuba
25,low,LRSE,4.33333333333333,Tuba
25,low,MRSE,2.66666666666667,Tuba
25,low,HRSE,4.33333333333333,Tuba
25,low,congr.,2.66666666666667,Tuba
25,mid,LRSE,4.33333333333333,Tuba
25,mid,MRSE,4.33333333333333,Tuba
25,mid,HRSE,6,Tuba
25,mid,congr.,4.33333333333333,Tuba
25,high,LRSE,4.33333333333333,Tuba
25,high,MRSE,4.33333333333333,Tuba
25,high,HRSE,2.66666666666667,Tuba
25,high,congr.,4.33333333333333,Tuba
26,low,LRSE,2.66666666666667,Tuba
26,low,MRSE,2.66666666666667,Tuba
26,low,HRSE,4.33333333333333,Tuba
26,low,congr.,2.66666666666667,Tuba
26,mid,LRSE,4.33333333333333,Tuba
26,mid,MRSE,4.33333333333333,Tuba
26,mid,HRSE,4.33333333333333,Tuba
26,mid,congr.,4.33333333333333,Tuba
26,high,LRSE,6,Tuba
26,high,MRSE,6,Tuba
26,high,HRSE,6,Tuba
26,high,congr.,6,Tuba
27,low,LRSE,5,Tuba
27,low,MRSE,6,Tuba
27,low,HRSE,5,Tuba
27,low,congr.,5,Tuba
27,mid,LRSE,4,Tuba
27,mid,MRSE,4,Tuba
27,mid,HRSE,3,Tuba
27,mid,congr.,5,Tuba
27,high,LRSE,2,Tuba
27,high,MRSE,3,Tuba
27,high,HRSE,3,Tuba
27,high,congr.,3,Tuba
28,low,LRSE,5,Tuba
28,low,MRSE,6,Tuba
28,low,HRSE,6,Tuba
28,low,congr.,6,Tuba
28,mid,LRSE,5,Tuba
28,mid,MRSE,4,Tuba
28,mid,HRSE,5,Tuba
28,mid,congr.,6,Tuba
28,high,LRSE,3,Tuba
28,high,MRSE,6,Tuba
28,high,HRSE,4,Tuba
28,high,congr.,4,Tuba
29,low,LRSE,6,Tuba
29,low,MRSE,6,Tuba
29,low,HRSE,6,Tuba
29,low,congr.,6,Tuba
29,mid,LRSE,6,Tuba
29,mid,MRSE,6,Tuba
29,mid,HRSE,6,Tuba
29,mid,congr.,4,Tuba
29,high,LRSE,4,Tuba
29,high,MRSE,5,Tuba
29,high,HRSE,5,Tuba
29,high,congr.,5,Tuba
30,low,LRSE,6,Tuba
30,low,MRSE,4.75,Tuba
30,low,HRSE,6,Tuba
30,low,congr.,6,Tuba
30,mid,LRSE,6,Tuba
30,mid,MRSE,6,Tuba
30,mid,HRSE,6,Tuba
30,mid,congr.,6,Tuba
30,high,LRSE,6,Tuba
30,high,MRSE,6,Tuba
30,high,HRSE,6,Tuba
30,high,congr.,6,Tuba
31,low,LRSE,6,Tuba
31,low,MRSE,6,Tuba
31,low,HRSE,3.5,Tuba
31,low,congr.,6,Tuba
31,mid,LRSE,4.75,Tuba
31,mid,MRSE,6,Tuba
31,mid,HRSE,4.75,Tuba
31,mid,congr.,4.75,Tuba
31,high,LRSE,3.5,Tuba
31,high,MRSE,4.75,Tuba
31,high,HRSE,3.5,Tuba
31,high,congr.,3.5,Tuba
32,low,LRSE,6,Tuba
32,low,MRSE,5,Tuba
32,low,HRSE,4,Tuba
32,low,congr.,6,Tuba
32,mid,LRSE,5,Tuba
32,mid,MRSE,5,Tuba
32,mid,HRSE,4,Tuba
32,mid,congr.,4,Tuba
32,high,LRSE,4,Tuba
32,high,MRSE,4,Tuba
32,high,HRSE,3,Tuba
32,high,congr.,3,Tuba
33,low,LRSE,6,Tuba
33,low,MRSE,6,Tuba
33,low,HRSE,6,Tuba
33,low,congr.,6,Tuba
33,mid,LRSE,4.75,Tuba
33,mid,MRSE,6,Tuba
33,mid,HRSE,6,Tuba
33,mid,congr.,6,Tuba
33,high,LRSE,3.5,Tuba
33,high,MRSE,4.75,Tuba
33,high,HRSE,4.75,Tuba
33,high,congr.,4.75,Tuba
34,low,LRSE,6,Tuba
34,low,MRSE,6,Tuba
34,low,HRSE,6,Tuba
34,low,congr.,6,Tuba
34,mid,LRSE,6,Tuba
34,mid,MRSE,4.75,Tuba
34,mid,HRSE,6,Tuba
34,mid,congr.,6,Tuba
34,high,LRSE,4.75,Tuba
34,high,MRSE,6,Tuba
34,high,HRSE,6,Tuba
34,high,congr.,6,Tuba
35,low,LRSE,6,Tuba
35,low,MRSE,6,Tuba
35,low,HRSE,6,Tuba
35,low,congr.,6,Tuba
35,mid,LRSE,6,Tuba
35,mid,MRSE,4.33333333333333,Tuba
35,mid,HRSE,6,Tuba
35,mid,congr.,4.33333333333333,Tuba
35,high,LRSE,6,Tuba
35,high,MRSE,6,Tuba
35,high,HRSE,6,Tuba
35,high,congr.,6,Tuba
36,low,LRSE,4.75,Tuba
36,low,MRSE,3.5,Tuba
36,low,HRSE,3.5,Tuba
36,low,congr.,4.75,Tuba
36,mid,LRSE,4.75,Tuba
36,mid,MRSE,6,Tuba
36,mid,HRSE,4.75,Tuba
36,mid,congr.,4.75,Tuba
36,high,LRSE,4.75,Tuba
36,high,MRSE,6,Tuba
36,high,HRSE,6,Tuba
36,high,congr.,6,Tuba
37,low,LRSE,4,Tuba
37,low,MRSE,2,Tuba
37,low,HRSE,2,Tuba
37,low,congr.,3,Tuba
37,mid,LRSE,6,Tuba
37,mid,MRSE,4,Tuba
37,mid,HRSE,3,Tuba
37,mid,congr.,6,Tuba
37,high,LRSE,4,Tuba
37,high,MRSE,5,Tuba
37,high,HRSE,5,Tuba
37,high,congr.,5,Tuba
38,low,LRSE,6,Tuba
38,low,MRSE,6,Tuba
38,low,HRSE,6,Tuba
38,low,congr.,5,Tuba
38,mid,LRSE,6,Tuba
38,mid,MRSE,5,Tuba
38,mid,HRSE,6,Tuba
38,mid,congr.,6,Tuba
38,high,LRSE,5,Tuba
38,high,MRSE,5,Tuba
38,high,HRSE,4,Tuba
38,high,congr.,4,Tuba
